Trying to read excel file by admin at Mar 24, 2015, 10:26 am.
Trying to make database connection.
..connected.

1st sheet is consist of 906 rows.
..insert into mst_brand (name, division, description, created_by, created_date) values ('DUST', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('DUAL', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('DEMADA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('DAMES KLEREN', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('DISSETANTE', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('D-LIGHT', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('DST', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('DEVAGO', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('EARLY', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('ECRU', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('EDDY P. CHANDRA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('EKS EXPORT LDS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('ELFAS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('ELLIDA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('ESCRAVA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('ETHMOS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('EXIT LDS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('EZPRESSO', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('EL ZOYA BSN', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('EL ZOYA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('ET CETERA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('ETHNIC BTK', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('EXPAND', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('EUGENE', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('EDDY MUSLIM', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('FABULOUS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('FASHION PARK', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('FELANCY', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('FLUORESCENCES', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('FOIL BY CRV', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('FREE&FREE', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('FEEL 100%', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('FLORIN', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('FEMME', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('FLAMOUSH', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('GRAPHIS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('GEELA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('G2000', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('GARUDA KENCANA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('GROOVI LDS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('HAMMER', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('HEATH', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('HERMAN NUARY', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('HUITIEME', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('HUMAIRA BSN', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('HUMAIRA KRD', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('HAFIZA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('IRISH', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('INDO ARTISTIC', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('IDAMAN', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('INVIO', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('INDITEX', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('JANE LORISA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('JUN MISSONI', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('KICKERS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('KREATIF', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('KREATIFBSN', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('KRNY', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('KARTIKA SARI', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('KANALA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('KEIKO', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('KUSUMAPUTRI', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('KERUDUNG HESSA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('KORZ', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LA FAMOSA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LA SUELA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LEAF', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LEE VIERRA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('L\'EGGS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LEGGS LDS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LINE&COLOR', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LITTLE INK LDS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LOGO', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LOONEY T', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LORIDA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LULUDI', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LUMINATION', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LYLA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LAMPION', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LOIS GIRLS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LDS EXE\'99', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LABEL PLUS', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('LABEL 9', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MAISARA', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MB GIRL', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MINIMAL ACTIVE', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MINT', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MISS K', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MISS RODEO', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MISSTY', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MOBIL POWER', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
..insert into mst_brand (name, division, description, created_by, created_date) values ('MONIQUE', 'LADIES', '', 'admin', '2015-03-24 10:26:00').
