Trying to read excel file by admin at Mar 24, 2015, 2:11 pm.
Trying to make database connection.
..connected.

1st sheet is consist of 906 rows.
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('I278', 'INVIO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('I289', 'INDITEX', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('J027', 'JANE LORISA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('J159', 'JUN MISSONI', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('K126', 'KICKERS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('K245', 'KREATIF', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('K246', 'KREATIFBSN', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('K253', 'KRNY', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('K254', 'KARTIKA SARI', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('K385', 'KANALA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('K439', 'KEIKO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('K477', 'KUSUMAPUTRI', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('K484', 'KERUDUNG HESSA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('K596', 'KORZ', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L012', 'LA FAMOSA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L014', 'LA SUELA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L072', 'LEAF', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L076', 'LEE VIERRA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L078', 'L\'EGGS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L079', 'LEGGS LDS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L138', 'LINE&COLOR', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L158', 'LITTLE INK LDS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L176', 'LOGO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L189', 'LOONEY T', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L199', 'LORIDA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L236', 'LULUDI', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L239', 'LUMINATION', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L254', 'LYLA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L266', 'LAMPION', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L332', 'LOIS GIRLS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L333', 'LDS EXE\'99', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L334', 'LABEL PLUS', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('L433', 'LABEL 9', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M046', 'MAISARA', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M164', 'MB GIRL', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M291', 'MINIMAL ACTIVE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M297', 'MINT', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M313', 'MISS K', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M314', 'MISS RODEO', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M319', 'MISSTY', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M357', 'MOBIL POWER', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M383', 'MONIQUE', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M409', 'MOSH INC', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M411', 'MOST', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M472', 'MUTI', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M965', 'MOBILE POWER', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('M985', 'MULIABATIK', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('MA97', 'MINIMAL', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('MC46', 'MOBSTER', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('MD39', 'MAP', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
..insert into mst_brand (code, name, division, description, created_by, created_date) values ('MD41', 'MARK SPENCER', 'LADIES', '', 'admin', '2015-03-24 14:11:17').
